order_number,location_id
ORD-161275,12
ORD-161276,12
ORD-161277,12
ORD-161278,12
ORD-161279,12
ORD-161280,11
ORD-161281,11
ORD-161282,2
ORD-161283,19
ORD-161284,11
ORD-161285,11
ORD-161286,19
ORD-161287,14
ORD-161288,7
ORD-161289,69
ORD-161290,11
ORD-161291,13
ORD-161292,73
ORD-161293,11
ORD-161294,14
ORD-161295,78
ORD-161296,1
ORD-161297,11
ORD-161298,11
ORD-161299,8
ORD-161300,13
ORD-161301,13
ORD-161302,19
ORD-161303,130
ORD-161304,11
ORD-161305,84
ORD-161306,84
ORD-161307,19
ORD-161308,78
ORD-161309,13
ORD-161310,14
ORD-161311,8
ORD-161312,19
ORD-161313,84
ORD-161314,13
ORD-161315,8
ORD-161316,14
ORD-161317,11
ORD-161318,1
ORD-161319,11
ORD-161320,19
ORD-161321,12
ORD-161322,14
ORD-161323,13
ORD-161324,23
ORD-161325,78
ORD-161326,78
ORD-161327,11
ORD-161328,8
ORD-161329,13
ORD-161330,14
ORD-161331,130
ORD-161332,19
ORD-161333,14
ORD-161334,11
ORD-161335,1
ORD-161336,7
ORD-161337,69
ORD-161338,14
ORD-161339,20
ORD-161340,78
ORD-161341,14
ORD-161342,13
ORD-161343,19
ORD-161344,23
ORD-161345,19
ORD-161346,23
ORD-161347,84
ORD-161348,3
ORD-161349,11
ORD-161350,19
ORD-161351,14
ORD-161352,14
ORD-161353,13
ORD-161354,23
ORD-161355,3
ORD-161356,198
ORD-161357,11
ORD-161358,19
ORD-161359,17
ORD-161360,1
ORD-161361,19
ORD-161362,198
ORD-161363,12
ORD-161364,11
ORD-161365,13
ORD-161366,19
ORD-161367,19
ORD-161368,198
ORD-161369,14
ORD-161370,23
ORD-161371,198
ORD-161372,11
ORD-161373,11
ORD-161374,11
ORD-161375,7
ORD-161376,19
ORD-161377,84
ORD-161378,84
ORD-161379,84
ORD-161380,84
ORD-161381,84
ORD-161382,23
ORD-161383,11
ORD-161384,84
ORD-161385,84
ORD-161386,84
ORD-161387,84
ORD-161388,7
ORD-161389,23
ORD-161390,84
ORD-161391,84
ORD-161392,84
ORD-161393,84
ORD-161394,11
ORD-161395,19
ORD-161396,19
ORD-161397,23
ORD-161398,19
ORD-161399,11
ORD-161400,11
ORD-161401,17
ORD-161402,13
ORD-161403,204
ORD-161404,204
ORD-161405,14
ORD-161406,14
ORD-161407,11
ORD-161408,19
ORD-161409,11
ORD-161410,3
ORD-161411,204
ORD-161412,204
ORD-161413,204
ORD-161414,1
ORD-161415,11
ORD-161416,11
ORD-161417,11
ORD-161418,11
ORD-161419,2
ORD-161420,69
ORD-161421,78
ORD-161422,14
ORD-161423,198
ORD-161424,130
ORD-161425,13
ORD-161426,13
ORD-161427,1
ORD-161428,23
ORD-161429,7
ORD-161430,204
ORD-161431,11
ORD-161432,84
ORD-161433,84
ORD-161434,84
ORD-161435,84
ORD-161436,84
ORD-161437,84
ORD-161438,84
ORD-161439,69
ORD-161440,2
ORD-161441,11
ORD-161442,20
ORD-161443,198
ORD-161444,198
ORD-161445,19
ORD-161446,209
ORD-161447,209
ORD-161448,204
ORD-161449,20
ORD-161450,11
ORD-161451,69
ORD-161452,204
ORD-161453,15
ORD-161454,83
ORD-161455,14
ORD-161456,11
ORD-161457,11
ORD-161458,7
ORD-161459,204
ORD-161460,12
ORD-161461,11
ORD-161462,19
ORD-161463,7
ORD-161464,11
ORD-161465,14
ORD-161466,69
ORD-161467,19
ORD-161468,13
ORD-161469,198
ORD-161470,14
ORD-161471,1
ORD-161472,15
ORD-161473,19
ORD-161474,19
ORD-161475,19
ORD-161476,14
ORD-161477,204
ORD-161478,7
ORD-161479,11
ORD-161480,78
ORD-161481,11
ORD-161482,14
ORD-161483,204
ORD-161484,23
ORD-161485,204
ORD-161486,204
ORD-161487,204
ORD-161488,1
ORD-161489,11
ORD-161490,204
ORD-161491,3
ORD-161492,19
ORD-161493,11
ORD-161494,23
ORD-161495,19
ORD-161496,19
ORD-161497,7
ORD-161498,11
ORD-161499,204
ORD-161500,204
ORD-161501,78
ORD-161502,13
ORD-161503,23
ORD-161504,11
ORD-161505,23
ORD-161506,11
ORD-161507,23
ORD-161508,1
ORD-161509,1
ORD-161510,11
ORD-161511,204
ORD-161512,204
ORD-161513,204
ORD-161514,13
ORD-161515,28
ORD-161516,13
ORD-161517,14
ORD-161518,78
ORD-161519,11
ORD-161520,11
ORD-161521,11
ORD-161522,1
ORD-161523,78
ORD-161524,13
ORD-161525,14
ORD-161526,209
ORD-161527,209
ORD-161528,209
ORD-161529,209
ORD-161530,204
ORD-161531,204
ORD-161532,204
ORD-161533,204
ORD-161534,11
ORD-161535,11
ORD-161536,198
ORD-161537,7
ORD-161538,23
ORD-161539,13
ORD-161540,204
ORD-161541,204
ORD-161542,78
ORD-161543,19
ORD-161544,15
ORD-161545,19
ORD-161546,69
ORD-161547,7
ORD-161548,209
ORD-161549,209
ORD-161550,209
ORD-161551,209
ORD-161552,23
ORD-161553,1
ORD-161554,11
ORD-161555,71
ORD-161556,14
ORD-161557,7
ORD-161558,19
ORD-161559,204
ORD-161560,204
ORD-161561,19
ORD-161562,23
ORD-161563,7
ORD-161564,15
ORD-161565,20
ORD-161566,204
ORD-161567,204
ORD-161568,1
ORD-161569,7
ORD-161570,23
ORD-161571,4
ORD-161572,20
ORD-161573,204
ORD-161574,204
ORD-161575,23
ORD-161576,7
ORD-161577,11
ORD-161578,11
ORD-161579,23
ORD-161580,13
ORD-161581,23
ORD-161582,14
ORD-161583,7
ORD-161584,15
ORD-161585,23
ORD-161586,23
ORD-161587,204
ORD-161588,204
ORD-161589,204
ORD-161590,31
ORD-161591,204
ORD-161592,13
ORD-161593,11
ORD-161594,204
ORD-161595,204
ORD-161596,204
ORD-161597,204
ORD-161598,204
ORD-161599,204
ORD-161600,14
ORD-161601,31
ORD-161602,71
ORD-161603,7
ORD-161604,1
ORD-161605,31
ORD-161606,204
ORD-161607,204
ORD-161608,11
ORD-161609,11
ORD-161610,15
ORD-161611,204
ORD-161612,31
ORD-161613,7
ORD-161614,14
ORD-161615,19
ORD-161616,20
ORD-161617,204
ORD-161618,204
ORD-161619,78
ORD-161620,12
ORD-161621,20
ORD-161622,7
ORD-161623,71
ORD-161624,7
ORD-161625,7
ORD-161626,31
ORD-161627,19
ORD-161628,7
ORD-161629,19
ORD-161630,1
ORD-161631,15
ORD-161632,1
ORD-161633,19
ORD-161634,19
ORD-161635,11
ORD-161636,7
ORD-161637,19
ORD-161638,12
ORD-161639,198
ORD-161640,31
ORD-161641,19
ORD-161642,7
ORD-161643,7
ORD-161644,31
ORD-161645,7
ORD-161646,28
ORD-161647,20
ORD-161648,13
ORD-161649,198
ORD-161650,28
ORD-161651,7
ORD-161652,153
ORD-161653,11
ORD-161654,11
ORD-161655,11
ORD-161656,11
ORD-161657,11
ORD-161658,20
ORD-161659,19
ORD-161660,11
ORD-161661,204
ORD-161662,204
ORD-161663,198
ORD-161664,11
ORD-161665,204
ORD-161666,204
ORD-161667,204
ORD-161668,204
ORD-161669,7
ORD-161670,15
ORD-161671,204
ORD-161672,204
ORD-161673,204
ORD-161674,204
ORD-161675,11
ORD-161676,11
ORD-161677,7
ORD-161678,204
ORD-161679,204
ORD-161680,204
ORD-161681,204
ORD-161682,204
ORD-161683,11
ORD-161684,13
ORD-161685,11
ORD-161686,204
ORD-161687,204
ORD-161688,11
ORD-161689,83
ORD-161690,83
ORD-161691,83
ORD-161692,13
ORD-161693,11
ORD-161694,11
ORD-161695,11
ORD-161696,13
ORD-161697,11
ORD-161698,153
ORD-161699,204
ORD-161700,14
ORD-161701,13
ORD-161702,11
ORD-161703,3
ORD-161704,3
ORD-161705,13
ORD-161706,204
ORD-161707,204
ORD-161708,13
ORD-161709,11
ORD-161710,11
ORD-161711,78
ORD-161712,11
ORD-161713,11
ORD-161714,8
ORD-161715,19
ORD-161716,13
ORD-161717,130
ORD-161718,8
ORD-161719,1
ORD-161720,19
ORD-161721,8
ORD-161722,11
ORD-161723,7
ORD-161724,2
ORD-161725,19
ORD-161726,13
ORD-161727,7
ORD-161728,2
ORD-161729,7
ORD-161730,13
ORD-161731,13
ORD-161732,14
ORD-161733,11
ORD-161734,11
ORD-161735,69
ORD-161736,12
ORD-161737,14
ORD-161738,1
ORD-161739,19
ORD-161740,8
ORD-161741,19
ORD-161742,69
ORD-161743,14
ORD-161744,14
ORD-161745,15
ORD-161746,7
ORD-161747,7
ORD-161748,1
ORD-161749,11
ORD-161750,14
ORD-161751,130
ORD-161752,13
ORD-161753,19
ORD-161754,8
ORD-161755,15
ORD-161756,19
ORD-161757,1
ORD-161758,1
ORD-161759,23
ORD-161760,13
ORD-161761,8
ORD-161762,19
ORD-161763,14
ORD-161764,13
ORD-161765,19
ORD-161766,1
ORD-161767,4
ORD-161768,14
ORD-161769,14
ORD-161770,14
ORD-161771,19
ORD-161772,11
ORD-161773,14
ORD-161774,1
ORD-161775,12
ORD-161776,11
ORD-161777,23
ORD-161778,19
ORD-161779,14
ORD-161780,7
ORD-161781,13
ORD-161782,2
ORD-161783,19
ORD-161784,11
ORD-161785,11
ORD-161786,13
ORD-161787,8
ORD-161788,23
ORD-161789,84
ORD-161790,8
ORD-161791,19
ORD-161792,19
ORD-161793,17
ORD-161794,12
ORD-161795,13
ORD-161796,20
ORD-161797,23
ORD-161798,14
ORD-161799,13
ORD-161800,31
ORD-161801,84
ORD-161802,100
ORD-161803,15
ORD-161804,11
ORD-161805,7
ORD-161806,8
ORD-161807,3
ORD-161808,19
ORD-161809,1
ORD-161810,11
ORD-161811,3
ORD-161812,11
ORD-161813,13
ORD-161814,130
ORD-161815,11
ORD-161816,19
ORD-161817,3
ORD-161818,71
ORD-161819,3
ORD-161820,19
ORD-161821,11
ORD-161822,3
ORD-161823,1
ORD-161824,15
ORD-161825,84
ORD-161826,14
ORD-161827,2
ORD-161828,11
ORD-161829,130
ORD-161830,23
ORD-161831,11
ORD-161832,12
ORD-161833,3
ORD-161834,14
ORD-161835,15
ORD-161836,3
ORD-161837,84
ORD-161838,11
ORD-161839,198
