"MFL Code","County","Subcounty","Facility","Facilities Supported","Samples Entered"
"13813","Homa Bay","NDHIWA","Mirogi Health Centre","1","8"
"13591","Kisumu","kisumu central","Got Nyabondo Dispensary ","1","7"
"13689","Kisumu","kisumu central","Kibos Sugar Research Dispensary ","1","3"
"13704","Kisumu","Kisumu Central","Kisumu District Hospital","1","173"
"13738","Kisumu","Kisumu Central","Lumumba Health Centre","4","174"
"13880","Kisumu","Kisumu West","Nyahera Sub District Hospital","1","22"
"13890","Kisumu","kisumu central","Nyalunya Dispensary ","2","26"
"14027","Kisumu","Kisumu Central","Railways Dispensary (Kisumu)","1","26"
"14060","Kisumu","Kisumu West","Rota Dispensary ","1","10"
"13528","Kisumu","Kisumu West","Chulaimbo Sub-District Hospital","1","82"
"13766","Nyamira","Manga","Manga District Hospital","1","2"
"13480","Migori","Suna East","Anjego Dispensary","1","7"
"13486","Migori","Suna West","Arombe Dispensary ","1","50"
"13494","Migori","Nyatike","Bande Dispensary ","1","2"
"13576","Migori","Suna West","Giribe Dispensary ","1","17"
"13582","Migori","Suna East","God Jope Dispensary ","1","15"
"13583","Migori","Suna West","God Kwer Dispensary ","1","37"
"13639","Migori","Nyatike","Kabuto Dispensary ","1","6"
"13640","Migori","Nyatike","Kadem TB & Leprosy Dispensary","1","34"
"13706","Migori","Nyatike","Kituka Dispensary ","1","2"
"13718","Migori","Suna West","Kopanga Dispensary ","1","11"
"13745","Migori","Nyatike","Macalder Sub-District Hospital","1","4"
"13793","Migori","Nyatike","Matoso Health Clinic","1","1"
"13804","Migori","Suna East","Midoti Dispensary ","1","10"
"13805","Migori","Suna East","Migori District Hospital","1","114"
"13833","Migori","Nyatike","Muhuru Health Centre","1","5"
"13844","Migori","Nyatike","Ndiwa Dispensary ","1","9"
"13865","Migori","Suna West","Nyaburi Clinic","2","9"
"13897","Migori","Suna West","Nyamaraga Dispensary","1","16"
"13940","Migori","Suna East","Nyarongi Dispensary ","1","13"
"13959","Migori","Nyatike","Ochuna Dispensary ","1","2"
"13960","Migori","Suna West","Ogada Dispensary ","1","8"
"13969","Migori","Suna East","Ogwedhi Health Centre","1","24"
"13993","Migori","Suna West","Oruba Nursing and Maternity Home","1","9"
"13996","Migori","Suna East","Osingo Dispensary ","1","9"
"14014","Migori","Suna West","Pastor Machage Memorial Hospital","1","2"
"14069","Migori","Suna East","Saro Dispensary ","1","20"
"14101","Migori","Suna West","St Akidiva Memorial Hospital","1","1"
"14102","Migori","Suna West","St Barnabas Dispensary","1","18"
"14103","Migori","Nyatike","St Camillus Mission Hospital","1","72"
"14110","Migori","Suna East","St Joseph Mission Hospital","1","81"
"14134","Migori","Suna West","Suna Nursing and Maternity Home","1","6"
"14135","Migori","Suna East","Suna Rabuor Dispensary ","1","15"
"14136","Migori","Suna West","Suna Ragana Dispensary ","1","20"
"16278","Migori","Nyatike","Thim Lich Dispensary","1","3"
"14170","Migori","Nyatike","Wath Onger Dispensary ","1","2"
"16279","Migori","Nyatike","Yago Dispensary","2","5"
"14121","Migori","Uriri","St Monica Rapogi Health Centre","1","80"
"14157","Migori","Awendo","Ulanda Dispensary ","1","4"
"14166","Migori","Rongo","Verna Health Centre","1","39"
"14607","Baringo","Baringo Central","Kabarnet District Hospital","1","16"
"14609","Baringo","Baringo North","Kabartonjo District Hospital","1","2"
"14203","Trans Nzoia","Endebess ","Andersen Medical Center","2","3"
"14455","Trans Nzoia","Endebess ","Endebess Sub-District Hospital","4","8"
"14720","Trans Nzoia","Kwanza","Kapkoi Dispensary","1","1"
"14294","Elgeyo Marakwet","Marakwet West","Chebiemit District Hospital","1","1"
"14373","Elgeyo Marakwet","Marakwet West","Cheptongei Dispensary","1","1"
"14386","Elgeyo Marakwet","Marakwet East","Chesongoch Health Centre","1","1"
"14695","Elgeyo Marakwet","Marakwet West","Kapcherop Health Centre","1","4"
"14767","Elgeyo Marakwet","Marakwet West","Kapsowar (AIC) Hospital","4","9"
"15446","West Pokot","Pokot South","Ortum Hospital","1","2"
"14634","West Pokot","Pokot North","Kacheliba District Hospital","1","4"
"14506","Trans Nzoia","cherangany","Geta Dispensary","1","1"
"14753","Trans Nzoia","cherangany","Kapsara District Hospital","2","2"
"15783","Trans Nzoia","cherangany","Wiyeta Dispensary","2","3"
"16361","Trans Nzoia","Kiminini ","Bikeke Helth Centre","3","8"
"14872","Trans Nzoia","Kiminini ","Kiminini Cottage Hospital","4","4"
"14947","Trans Nzoia","Kiminini ","Kitale District Hospital","24","123"
"16364","Trans Nzoia","Kiminini ","Matunda Dispensary","1","6"
"15508","Trans Nzoia","Saboti ","Saboti Sub-District Hospital","2","8"
"14701","West Pokot","West Pokot","Kapenguria District Hospital","1","2"
"15976","Bungoma","Webuye East","Lurare Dispensary","1","1"
"16028","Bungoma","Webuye West","Mukhe Dispensary","1","1"
"16160","Bungoma","Webuye East","Webuye Health Centre","1","2"
"16161","Bungoma","Webuye West","Webuye County Hospital","1","1"
"19928","Migori","Nyatike","Got Kachola","1","1"
"17735","Migori","Nyatike","Ondong Dispensary
","1","17"
