"Year of Testing","Month of Testing","Machine","Negative","Positive","Failed","Unknown","Collect New Sample","Total"
"2018","January","Roche","1456","138","23","","16","1633"
"2018","January","Abbott","","","","","",""
"2018","February","Roche","1327","129","12","","6","1474"
"2018","February","Abbott","","","","","",""
"2018","March","Roche","1435","133","7","","9","1584"
"2018","March","Abbott","","","","","",""
"2018","April","Roche","1539","105","4","","2","1650"
"2018","April","Abbott","","","","","",""
"2018","May","Roche","1524","115","26","","4","1669"
"2018","May","Abbott","","","","","",""
"2018","June","Roche","1498","108","6","","4","1616"
"2018","June","Abbott","","","","","",""
"2018","July","Roche","1498","111","14","","2","1625"
"2018","July","Abbott","","","","","",""
"2018","August","Roche","1421","106","7","","1","1535"
"2018","August","Abbott","","","","","",""
"2018","September","Roche","1456","106","20","","2","1584"
"2018","September","Abbott","","","","","",""
"2018","October","Roche","1470","102","36","","3","1611"
"2018","October","Abbott","","","","","",""
"2018","November","Roche","1176","77","20","","","1273"
"2018","November","Abbott","","","","","",""
"2018","December","Roche","831","41","3","","","875"
"2018","December","Abbott","","","","","",""
