"DHIScode","MFL Code","name","is_surge","WardDHISCode","wardname","SubCountyDHISCode","subcounty","CountyDHISCode","County","Partner"
"T5sPlPfblxx","10019","Aid Intergrated Programme Mangu Dispensary","","C5gJnXO6h1Y","Mang'u Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"v3Asi8qDOq7","10039","ASPE Medical Clinic","","ORuLgjaAGBo","Kiamwangi Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"uuNZT6rjYne","10067","Bethsaida Medical Clinic (Gatundu)","","l4MV7dNKjrG","Ngenda Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"YQmG1Y6hTRh","10090","Charity Medical Clinic","","C5gJnXO6h1Y","Mang'u Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"OjfMUlTYbK1","10194","Gachege Dispensary","","Dg4t78ouq8h","Githobokoni Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","UON CRISSP+"
"xffm6sXHd1I","10195","Gachika Dispensary","","YEjn4x9gyXR","Kiganjo Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","UON CRISSP+"
"N77UkGoiY0M","10202","Gakoe Dispensary","","Dg4t78ouq8h","Githobokoni Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","UON CRISSP+"
"Ec7pVqlElYt","10231","Gatukuyu Medical Clinic","","C5gJnXO6h1Y","Mang'u Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"WrZYJH3y1Fh","10233","Gatundu District Hospital","","l4MV7dNKjrG","Ngenda Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","UON CRISSP+"
"xPIE2QUchap","10257","Gitare Dispensary (Gatundu)","","YEjn4x9gyXR","Kiganjo Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","UON CRISSP+"
"GqyOLiYRtvM","10278","Gituamba Medical Clinic","","vR89p0TyICU","Gituamba Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"NRrl8jpHvoR","10284","Gitwe Medical Clinic","","BWRIH7ocbHB","Ndarugu Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"cRyPOqbaSG8","10323","Hope Medical Clinic (Gatundu South)","","YEjn4x9gyXR","Kiganjo Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"PJ64R165sVi","10329","Huruma Medical Clinic (Gatundu)","","C5gJnXO6h1Y","Mang'u Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"I0kQUozVjhZ","10338","Igegania Health Centre","","C5gJnXO6h1Y","Mang'u Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","UON CRISSP+"
"WfvbMNyZ8sr","10363","Ituramiro Medical Clinic","","BWRIH7ocbHB","Ndarugu Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"ACfqreMoPQt","10370","Jamii Medical Clinic (Gatundu)","","Dg4t78ouq8h","Githobokoni Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"Cy4VEPfGEhu","10392","Kabuteti (AIC) Medical Clinic","","","","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"DDFRTKwOXI0","10430","Kairi Medical Clinic","","vR89p0TyICU","Gituamba Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"rgcRHA69zVB","10456","Kamwangi Health Services","","vR89p0TyICU","Gituamba Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"vzZ53lAMdJp","10489","Karatu Health Centre","","BWRIH7ocbHB","Ndarugu Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","UON CRISSP+"
"xdkwYfgLbFH","10497","Karinga Mission","","BWRIH7ocbHB","Ndarugu Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"pXEMAUHxa7A","10508","Karure Medical Clinic","","C5gJnXO6h1Y","Mang'u Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"NmponeZbfju","10580","Kieni Dispensary (Gatundu)","","vR89p0TyICU","Gituamba Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"EZAag3FkBnY","10581","Kiganjo Dispensary","","YEjn4x9gyXR","Kiganjo Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","UON CRISSP+"
"j9bOK1JJ84q","10585","Kigongo Medical Clinic","","ORuLgjaAGBo","Kiamwangi Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"hwtoYW2hXUh","10612","Kimunyu (PCEA) Dispensary","","l4MV7dNKjrG","Ngenda Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"Li7cc2zX4c9","10622","Kirathimo Medical Clinic","","C5gJnXO6h1Y","Mang'u Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"XeFufwPR1CG","10676","Mama Margaret Medical Clinic","","ORuLgjaAGBo","Kiamwangi Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"rUVlUh0zuMA","10703","Mataara Dispensary","","vR89p0TyICU","Gituamba Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"hOwIf7ekZ2I","10711","Mbici Dispensary","","C5gJnXO6h1Y","Mang'u Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"j4DGPmDlXAp","10760","Mukurwe (PCEA) Medical Clinic","","C5gJnXO6h1Y","Mang'u Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"sBGU5pdFWRm","10767","Mundoro Medical Clinic","","YEjn4x9gyXR","Kiganjo Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"jiWoSJQqlXA","10776","Munyu-ini Dispensary","","BWRIH7ocbHB","Ndarugu Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"a6Bk6oEXz8J","10835","Ndonyero Medical Clinic","","C5gJnXO6h1Y","Mang'u Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"MaVPJvBNJ5P","16804","Nembu Medical Clinic","","ORuLgjaAGBo","Kiamwangi Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"x34xUVEFge4","10864","Ngenda Health Centre","","ORuLgjaAGBo","Kiamwangi Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","UON CRISSP+"
"HIEF04AulGc","10872","Ngorongo Health Centre","","ReDzOcQ8mT1","Chania Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","UON CRISSP+"
"XbKLOvzJQ21","10998","Samkim Medical Clinic","","C5gJnXO6h1Y","Mang'u Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"vIDxyQ0HoOK","16805","St Ann Medical Clinic","","YEjn4x9gyXR","Kiganjo Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","No Partner"
"zTyQpHtV9vL","11034","St Gabriel Health Centre","","l4MV7dNKjrG","Ngenda Ward","EcRytSSIkUq","Gatundu South","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"PJwPoPSsA7s","11073","St Triza Medical Clinic","","C5gJnXO6h1Y","Mang'u Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"cEeu2EatN3e","11168","Wanduta Medical Clinic","","Dg4t78ouq8h","Githobokoni Ward","HEsM6W2ImQR","Gatundu North","qKzosKQPl6G","Kiambu","No Partner"
"D1pdFGebAX1","10029","Anmer Dispensary","","G5RaW09czpW","Ting'ang'a Ward","SBz4c48i24Y","Kiambu Town","qKzosKQPl6G","Kiambu","UON CRISSP+"
"oyMHYuegTO3","10058","Beta Care Nursing Home","","NFNF57gkxbf","Githunguri Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"bnAPG8xAAs7","10072","Bl Palazzolo Dispensary","","L4eA6Nld41v","Kihara Ward","oMaQgNIs85x","Kiambaa","qKzosKQPl6G","Kiambu","No Partner"
"qlNkkxCbBOY","10097","Cianda Dispensary","","woYqYmbk8hx","Cianda Ward","oMaQgNIs85x","Kiambaa","qKzosKQPl6G","Kiambu","UON CRISSP+"
"wOcT7C4Gqzh","10214","Gathanga Dispensary","","v46jgbTAri7","Muchatha Ward","oMaQgNIs85x","Kiambaa","qKzosKQPl6G","Kiambu","UON CRISSP+"
"ZhLMW5vxOrJ","10219","Gathiruini (PCEA) Dispensary","","Tqs3YLWw30B","Komothai Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","No Partner"
"SZgImyX0tp9","10263","Githiga Health Centre","1","jALskID8BQS","Githiga Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"wXCe90OC0Tk","10264","Githiga Midways Clinic","","jALskID8BQS","Githiga Ward","oMaQgNIs85x","Kiambaa","qKzosKQPl6G","Kiambu","No Partner"
"rg99yzExwVO","10269","Githunguri Health Centre","1","NFNF57gkxbf","Githunguri Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"AvZG82YETEp","10270","Githunguri Health Services Clinic","","NFNF57gkxbf","Githunguri Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","No Partner"
"wZIjfTwwfbr","10271","Githunguri Heathwatch Clinic","","NFNF57gkxbf","Githunguri Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","No Partner"
"MfyajFElghr","10272","Githunguri Medical Plaza Clinic","","NFNF57gkxbf","Githunguri Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","No Partner"
"b8l5Xhu0FxL","10275","Gitiha Dispensary","","jALskID8BQS","Githiga Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","No Partner"
"g4uByH1jMGl","10290","GK Prisons Dispensary (Kiambu East)","","byxif4bfwvo","Township Ward","SBz4c48i24Y","Kiambu Town","qKzosKQPl6G","Kiambu","No Partner"
"wrAweHs15Lu","10322","Holy Rosary Ikinu Dispensary","","zvhM3m7bIIh","Ikinu Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","No Partner"
"sVtx58e1tHa","10446","Kambui (PCEA) Dispensary","","bkMHxVGDIcL","Ngewa Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","No Partner"
"PRkZFo6LxYn","10493","Karia Health Centre","","zvhM3m7bIIh","Ikinu Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","UON CRISSP+"
"rZZoc2Xfu2H","10506","Karura (SDA) Dispensary","","L4eA6Nld41v","Kihara Ward","oMaQgNIs85x","Kiambaa","qKzosKQPl6G","Kiambu","CHAK-CDC HIV-AIDS Program"
"zYFy90m10i1","10507","Karuri Health Centre","","eCWu3IedbJm","Karuri Ward","oMaQgNIs85x","Kiambaa","qKzosKQPl6G","Kiambu","UON CRISSP+"
"X3m67s9fYES","10539","Kiambu District Hospital","","byxif4bfwvo","Township Ward","SBz4c48i24Y","Kiambu Town","qKzosKQPl6G","Kiambu","UON CRISSP+"
"GoCD15y4iGf","10540","Kiambu Institute Of Science And Technology Dispens","","byxif4bfwvo","Township Ward","SBz4c48i24Y","Kiambu Town","qKzosKQPl6G","Kiambu","No Partner"
"GfNb0qzYjyO","10573","Kibubuti Dispensary","","woYqYmbk8hx","Cianda Ward","SBz4c48i24Y","Kiambu Town","qKzosKQPl6G","Kiambu","No Partner"
"L4zWxlDYQw2","10587","Kigumo Health Centre (Kiambu East)","","Tqs3YLWw30B","Komothai Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","UON CRISSP+"
"bxheWBppb9H","10591","Kihara Sub-District Hospital","1","L4eA6Nld41v","Kihara Ward","oMaQgNIs85x","Kiambaa","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"Uo3USBvvM3j","10726","Miguta Dispensary","","bkMHxVGDIcL","Ngewa Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","UON CRISSP+"
"dwCRECAarpB","10734","Monica Clinic","","NFNF57gkxbf","Githunguri Ward","oMaQgNIs85x","Kiambaa","qKzosKQPl6G","Kiambu","No Partner"
"dsbD2Xdq2Zg","10865","Ngewa Health Centre","","bkMHxVGDIcL","Ngewa Ward","E7tkGikenbD","Githunguri","qKzosKQPl6G","Kiambu","UON CRISSP+"
"IUIajcIDxbh","10957","Riabai Dispensary","","xgHhSzo3AuN","Riabai Ward","SBz4c48i24Y","Kiambu Town","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"q9xXncCEGRK","10988","Sacred Heart Dispensary","","v46jgbTAri7","Muchatha Ward","oMaQgNIs85x","Kiambaa","qKzosKQPl6G","Kiambu","CHAK-CDC HIV-AIDS Program"
"YXi9EvL8uS1","11023","St Ann Lioki Dispensary","","G5RaW09czpW","Ting'ang'a Ward","oMaQgNIs85x","Kiambaa","qKzosKQPl6G","Kiambu","No Partner"
"Cgr6zu0FtQv","11107","Tinganga (PCEA) Dispensary","","G5RaW09czpW","Ting'ang'a Ward","SBz4c48i24Y","Kiambu Town","qKzosKQPl6G","Kiambu","CHAK-CDC HIV-AIDS Program"
"M7R0OJOMSOA","10018","Ahadi Maternity Dispensary","","aR3qJ3GyWeP","Nyanduma Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"kysmMGHHdFn","10050","Bathi Faith (ACK) Medical Dispensary","","oA6eNmEvCaj","Kijabe Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","No Partner"
"b5xdYrMeTab","10069","Bibirioni Health Centre","","cSNzNEfbQfk","Bibirioni Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"0","10095","Chura Medical Clinic.","","","","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"UaGbgsZQ1M8","10102","Cura (ACK) Medical Clinic","","P3TwXvbGu0Y","Gitaru Ward","lb5LzWiUX8Y","Kabete","qKzosKQPl6G","Kiambu","No Partner"
"FXeEa4cMeYS","10111","Dommy Medical Clinic","","","","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"jiTapCZvyJV","10158","Ebenezer Medical Clinic (Kiambu West)","","NfJb3vThwG5","Lari/kirenga Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","No Partner"
"HdbugkfTIcQ","10252","Gichuru Dispensary","","Rm2JR4F01rw","Sigona Ward","jOVcLeZQSsS","Kikuyu","qKzosKQPl6G","Kiambu","UON CRISSP+"
"gr1400eJD4s","10265","Githirioni Dispensary","","NfJb3vThwG5","Lari/kirenga Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","No Partner"
"g9QbZTBk5sC","10321","Holy Cross Thigio Dispensary","","lRFhjTLImNu","Ndeiya Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"WD4MnDlffHd","10345","Imani Clinic (Kiambu West)","","DwOhEdMGpB7","Limuru Central Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"GPx7WbEdY6S","10351","Immanuel Medical Clinic","","oA6eNmEvCaj","Kijabe Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","No Partner"
"BuKsUiPIIkt","10394","Kagaa Dispensary","","rq7Y1sxGfgN","Kamburu Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","UON CRISSP+"
