"Year","Month","Collection to Receipt at the Lab (TAT 1)","Receipt to Testing (TAT 2)","Testing to Dispatch (TAT 3)","Collection to Dispatch (TAT 4)","Receipt to Dispatch (Lab TAT)","Number of Samples"
"2015","12","14.0000","1.0000","1.0000","18.0000","4.0000","3"
"2016","1","5.7683","13.3775","21.0699","42.4968","37.0567","4393"
"2016","2","7.5185","28.7977","16.8548","53.7311","46.4674","7195"
"2016","3","5.7271","21.4097","11.3334","38.2218","32.7367","15225"
"2016","4","6.0883","24.1778","5.7378","37.2457","31.5201","22557"
"2016","5","6.0960","4.7380","3.8022","16.1043","10.2386","12976"
"2016","6","8.0359","5.2833","2.4312","16.9715","9.0506","16908"
"2016","7","6.2395","3.0623","4.8525","13.7854","7.8794","10240"
"2016","8","6.6534","4.5912","4.4945","16.4519","10.3065","10119"
"2016","9","4.8637","7.8206","2.9158","15.6673","11.0143","17394"
"2016","10","5.7423","2.3137","5.7498","14.7873","9.1550","9164"
"2016","11","5.2787","6.1295","12.7349","24.1322","18.9789","5681"
"2016","12","4.7030","2.4300","3.8977","11.3394","7.5878","1965"
"2017","1","5.8535","24.3930","3.3289","34.2272","28.9056","10051"
"2017","2","5.7623","7.7571","1.7751","15.0583","9.6766","13178"
"2017","3","4.7423","4.4722","2.5025","11.3237","6.9180","12820"
"2017","4","5.0856","2.5991","1.9581","11.5002","6.7446","9479"
"2017","5","3.8055","4.3086","3.2978","12.5179","9.2394","8241"
"2017","6","3.6632","6.9621","2.2715","14.0869","10.5999","11874"
"2017","7","3.7775","2.7607","3.5003","10.0003","6.2830","13189"
"2017","8","3.8932","4.7440","2.4855","11.9817","8.2522","7880"
"2017","9","3.2430","3.3482","2.1905","8.6776","5.4781","15049"
"2017","10","2.9718","2.7508","2.1354","8.7227","5.9833","8982"
"2017","11","3.6101","3.4683","2.0726","9.1033","5.5529","11144"
"2017","12","2.6154","1.8884","2.5687","8.1939","6.4137","5602"
"2018","1","3.2267","3.6876","2.0837","9.9963","7.3369","10495"
"2018","2","3.8430","6.0949","2.6982","12.5694","8.8556","6449"
"2018","3","4.1016","6.8981","2.7522","13.2503","9.3861","12564"
"2018","4","2.9870","8.0128","2.4889","14.9966","12.3602","13461"
"2018","5","2.4560","3.7727","2.6738","10.1869","7.9895","15389"
"2018","6","2.7004","3.8095","1.7396","9.1623","6.6356","10338"
"2018","7","2.8838","3.3909","2.8154","9.0734","6.2730","14498"
"2018","8","2.4495","1.7276","1.6405","6.6164","4.3488","11507"
"2018","9","3.0388","4.0856","2.6767","9.7457","6.7215","12397"
"2018","10","2.6115","2.5203","1.8075","8.0997","5.6783","11796"
"2018","11","2.8262","2.7929","2.2139","7.4917","4.7269","11711"
"2018","12","2.6463","2.7700","2.8420","9.4565","7.9240","8280"
"2019","1","2.9281","2.0439","1.5319","6.6643","4.0235","15340"
"2019","2","2.7648","2.2886","2.0003","6.4225","3.7243","15632"
"2019","3","2.4975","4.6645","2.6713","9.2045","6.7655","15628"
"2019","4","1.7345","3.2012","1.5658","7.2932","6.4785","19190"
"2019","5","1.6262","2.1197","1.2526","5.2213","4.2516","17596"
"2019","6","1.7485","1.9101","1.2194","5.2146","3.9489","13888"
"2019","7","2.1109","2.0940","1.2893","5.0113","3.0563","16144"
"2019","8","1.6095","1.0218","0.9808","3.0290","2.0508","2243"
