"Year of Testing","Month of Testing","Machine","LDL","<= 1000","> 1000 & <= 5000","> 5000","Collect New Sample","Total"
"2018","January","Roche","36","46","5","6","","93"
"2018","January","Abbott","2795","409","163","279","121","3767"
"2018","January","C8800","6075","6570","804","1047","90","14586"
"2018","February","Roche","633","546","83","111","59","1432"
"2018","February","Abbott","4026","442","173","309","295","5245"
"2018","February","C8800","5636","7817","808","1067","107","15435"
"2018","March","Roche","237","225","30","39","10","541"
"2018","March","Abbott","2276","303","121","197","86","2983"
"2018","March","C8800","6799","10971","1099","1216","81","20166"
"2018","April","Roche","856","466","61","87","72","1542"
"2018","April","Abbott","6144","493","198","301","431","7567"
"2018","April","C8800","5904","7692","601","774","40","15011"
"2018","May","Roche","2218","1478","186","222","64","4168"
"2018","May","Abbott","6530","750","243","352","200","8075"
"2018","May","C8800","5736","7980","728","725","106","15275"
"2018","June","Roche","503","556","56","62","30","1207"
"2018","June","Abbott","6867","512","187","316","386","8268"
"2018","June","C8800","3185","5649","514","451","28","9827"
"2018","July","Roche","1006","1566","278","183","56","3089"
"2018","July","Abbott","3565","201","168","221","274","4429"
"2018","July","C8800","4895","13306","1367","1035","95","20698"
"2018","August","Roche","285","657","96","60","11","1109"
"2018","August","Abbott","1201","45","45","104","65","1460"
"2018","August","C8800","3243","9211","954","842","32","14282"
"2018","September","Roche","398","638","65","68","10","1179"
"2018","September","Abbott","1062","23","66","72","82","1305"
"2018","September","C8800","4760","10168","889","823","191","16831"
"2018","October","Roche","114","297","35","34","","480"
"2018","October","Abbott","954","39","94","120","52","1259"
"2018","October","C8800","3967","13643","1502","991","188","20291"
"2018","November","Roche","50","175","26","19","","270"
"2018","November","Abbott","1012","37","80","87","73","1289"
"2018","November","C8800","4422","14196","1505","1068","64","21255"
"2018","December","Roche","","","","","",""
"2018","December","Abbott","1049","65","85","69","16","1284"
"2018","December","C8800","3382","10893","1029","678","63","16045"
